N_train,seed,lambda,MAE,RMSE,physics_adherence_MAE
100,5,0.5,0.07288248015520699,0.0911496442733377,0.044550757792210745
100,5,0.75,0.06926398886861292,0.0883322538487981,0.040592270977009376
100,5,1.0,0.07150953320170429,0.09047807183581232,0.03632760487791372
100,5,1.5,0.07163837658405026,0.0884891113163659,0.03366900063150525
100,5,2.0,0.0686347690917051,0.08520470582223143,0.029591963370027074
100,6,0.0,0.09577936589677913,0.13301986438829663,0.11792140761496124
100,6,0.02,0.07097105860637204,0.09315783553878929,0.08154842117063239
100,6,0.05,0.07170832259693084,0.09285893912487121,0.07003587804490577
100,6,0.1,0.07160000673932375,0.09069977319753814,0.0609000770427215
100,6,0.2,0.07069480087367375,0.0903733809136048,0.05182929347738177
100,6,0.35,0.07642188159196857,0.0960845563258319,0.0530698815909537
100,6,0.5,0.07509847013390825,0.09461573216937796,0.04837571029249265
100,6,0.75,0.07621353286488426,0.0956291714810662,0.04171707063873253
100,6,1.0,0.07528612041860483,0.0918034781635042,0.03930042465866575
100,6,1.5,0.07293329628767356,0.08969585800713234,0.03588952321545433
100,6,2.0,0.07298500919972307,0.08886641989556072,0.029326329691050253
100,7,0.0,0.09006770213982891,0.11693804878450303,0.09273959456814211
100,7,0.02,0.0764462872566665,0.09776402947342358,0.07640435165263813
100,7,0.05,0.07295171449994295,0.09279339443604788,0.06768780292307205
100,7,0.1,0.07442252766490993,0.09684219575050212,0.06436112828017683
100,7,0.2,0.07317398553666296,0.09427158443829114,0.058073215902091885
100,7,0.35,0.07559176629545539,0.09790476605268283,0.05644290428126398
100,7,0.5,0.07829069447975603,0.10109553053957139,0.05149087882067004
100,7,0.75,0.07463589829087004,0.09630816881509693,0.046986175050222956
100,7,1.0,0.07489895067149792,0.09499334413143097,0.042449712969592636
100,7,1.5,0.07514427317128305,0.09467146931386555,0.03678234370411548
100,7,2.0,0.0743204149069741,0.09296955261017988,0.03367958220780895
