N_train,seed,model,lambda_selected,MAE,RMSE,R2
160,10,Standard_MLP,,0.07993355237444344,0.10665551927852532,0.8029341668862149
160,10,PGNN,0.2,0.07081504239040037,0.09403973327721407,0.8467969392104706
160,11,PLS,,0.08450210743951596,0.10969117553277222,0.7915566491391333
160,11,Standard_MLP,,0.070446033617246,0.09133857070142938,0.8554716357902684
160,11,PGNN,0.5,0.06582745222999407,0.08349852724769254,0.8792179780808748
250,0,PLS,,0.08680400102927469,0.11455303609160605,0.7726694132243183
250,0,Standard_MLP,,0.06796757029625326,0.09157470982290587,0.854723366629321
250,0,PGNN,0.35,0.06022652532727858,0.07647120872177,0.8986927388669314
250,1,PLS,,0.08522981049555295,0.11402284340149679,0.7747688790021406
250,1,Standard_MLP,,0.06584156290881787,0.08785268862487002,0.866292804738109
250,1,PGNN,0.2,0.05799344555880543,0.07739779344624981,0.8962228299485668
250,2,PLS,,0.08911312954356566,0.1174150080347962,0.7611683445348889
250,2,Standard_MLP,,0.08152561208507057,0.10377774533990851,0.8134251390018796
250,2,PGNN,0.35,0.06162008206540703,0.08036599968540187,0.8881104911906121
250,3,PLS,,0.08895219683886538,0.11654491879597746,0.7646948936674218
250,3,Standard_MLP,,0.07319446258040674,0.09728505814976286,0.8360403621845923
250,3,PGNN,0.35,0.06561467485688487,0.08906789923941431,0.8625682480151903
250,4,PLS,,0.08584815296869339,0.11116905553411559,0.7859020560359038
250,4,Standard_MLP,,0.07075006794726385,0.09429827362909375,0.8459533889373415
250,4,PGNN,0.2,0.06249865229313219,0.08457232823580002,0.8760914605041108
250,5,PLS,,0.08719823349776078,0.11659867672217884,0.7644777682525704
250,5,Standard_MLP,,0.06910681592803661,0.08940419714431384,0.8615284735414518
250,5,PGNN,0.5,0.06078875306526028,0.08004631357718596,0.8889988862425541
250,6,PLS,,0.08730494595574921,0.11662680047007813,0.764364138031591
250,6,Standard_MLP,,0.06971257502504727,0.08990111239140634,0.859984925549075
250,6,PGNN,0.5,0.05993742098715743,0.07702598539678591,0.8972174967619653
250,7,PLS,,0.08146063379682325,0.10733374473180314,0.8004199037134188
250,7,Standard_MLP,,0.07982156577143519,0.10509400697578732,0.8086622923562353
250,7,PGNN,0.35,0.059669550951477766,0.07973566220261054,0.8898587818518106
250,8,PLS,,0.08246304338517943,0.10958332179822367,0.7919663510375665
250,8,Standard_MLP,,0.07515948509986299,0.09867843636523128,0.8313100603173923
250,8,PGNN,0.5,0.062361565696505396,0.07921612027024419,0.8912894228692478
250,9,PLS,,0.0854859601683275,0.11432256596546322,0.7735832293212053
250,9,Standard_MLP,,0.06555339348207453,0.08795849844946393,0.8659705367518146
250,9,PGNN,0.2,0.056116618269753005,0.07305234688074683,0.9075487026423261
250,10,PLS,,0.0853696337791218,0.11080021119648953,0.7873203969558351
250,10,Standard_MLP,,0.07326936181260252,0.09599396022599156,0.8403633952631188
250,10,PGNN,0.05,0.06839364780729157,0.08974957635823122,0.8604565425644713
250,11,PLS,,0.08751559009552189,0.11791960804870322,0.7591111387524806
250,11,Standard_MLP,,0.0694796571708175,0.08852368744859176,0.8642425546530168
250,11,PGNN,0.35,0.06015141184797267,0.0783545142698478,0.893641376002361
